"","x"
"1","Marmosa_robinsoni"
"2","Chironectes_minimus"
"3","Puma_concolor"
"4","Mustela_africana"
"5","Bos_taurus"
"6","Antrozous_pallidus"
"7","Antrozous_dubiaquercus"
"8","Ochotona_himalayana"
"9","Rattus_rattus"
"10","Aotus_lemurinus"
"11","Setifer_setosus"
"12","Tachyglossus_aculeatus"
"13","Ornithorhynchus_anatinus"
"14","Varanus_giganteus"
"15","Iguana_iguana"
"16","Furcifer_lateralis"
"17","Gavialis_gangeticus"
"18","Eudromia_elegans"
"19","Ara"
"20","Passer_domesticus"
"21","Spheniscus_magellanicus"
"22","Oceanodroma_leucorhoa"
"23","Columbina_passerina"
"24","Topaza_pella"
"25","Dendrocygna_viduata"
"26","Platypus"
